iter	Passed	Remaining
0	56	56010
1	56	28159
2	56	18865
3	57	14225
4	57	11434
5	57	9580
6	58	8262
7	58	7263
8	58	6488
9	59	5865
10	59	5359
11	59	4935
12	60	4578
13	60	4271
14	60	4004
15	61	3771
16	61	3566
17	62	3384
18	62	3221
19	62	3074
20	63	2940
21	63	2818
22	63	2707
23	64	2605
24	64	2512
25	64	2427
26	65	2347
27	65	2271
28	65	2202
29	66	2137
30	66	2076
31	66	2020
32	67	1966
33	67	1916
34	67	1869
35	68	1824
36	68	1781
37	68	1743
38	69	1706
39	69	1670
40	69	1635
41	70	1601
42	70	1570
43	70	1539
44	71	1511
45	71	1484
46	71	1458
47	72	1432
48	72	1408
49	72	1385
50	73	1363
51	73	1342
52	73	1321
53	74	1302
54	74	1283
55	75	1265
56	75	1246
57	75	1229
58	76	1212
59	76	1197
60	76	1180
61	77	1165
62	77	1151
63	77	1136
64	78	1122
65	78	1109
66	78	1096
67	79	1084
68	79	1071
69	79	1059
70	80	1049
71	80	1037
72	80	1026
73	81	1015
74	81	1005
75	81	994
76	82	985
77	82	975
78	82	966
79	83	957
80	83	948
81	83	939
82	84	929
83	84	920
84	84	912
85	85	903
86	85	895
87	86	895
88	86	887
89	87	880
90	87	873
91	87	865
92	88	858
93	88	851
94	88	845
95	89	838
96	89	832
97	89	826
98	90	820
99	90	814
100	90	808
101	91	802
102	91	796
103	91	792
104	92	786
105	92	781
106	92	775
107	93	770
108	93	765
109	93	760
110	94	755
111	94	750
112	94	745
113	95	740
114	95	736
115	95	731
116	96	726
117	96	721
118	96	717
119	97	713
120	97	708
121	97	703
122	98	700
123	98	696
124	98	691
125	99	688
126	99	683
127	99	679
128	100	675
129	100	671
130	100	667
131	100	663
132	101	660
133	101	656
134	101	653
135	102	649
136	102	646
137	102	643
138	103	639
139	103	636
140	103	633
141	104	628
142	104	625
143	104	622
144	105	620
145	105	617
146	105	614
147	106	610
148	106	607
149	106	604
150	107	601
151	107	598
152	107	596
153	107	593
154	108	590
155	108	587
156	108	585
157	109	582
158	109	580
159	110	577
160	110	574
161	110	571
162	110	569
163	111	567
164	111	564
165	111	562
166	112	559
167	112	557
168	112	554
169	113	552
170	113	550
171	113	548
172	114	545
173	114	543
174	114	541
175	115	539
176	115	536
177	115	534
178	116	532
179	116	530
180	116	528
181	117	525
182	117	523
183	117	521
184	118	519
185	118	517
186	118	516
187	119	514
188	119	512
189	119	510
190	120	508
191	120	506
192	120	504
193	121	502
194	121	501
195	121	499
196	122	497
197	122	495
198	122	493
199	122	491
200	123	490
201	123	488
202	123	486
203	124	484
204	124	483
205	124	481
206	125	479
207	125	478
208	125	476
209	126	474
210	126	473
211	126	471
212	127	469
213	127	468
214	127	466
215	128	465
216	128	463
217	128	461
218	129	460
219	129	458
220	129	457
221	130	455
222	130	454
223	130	452
224	131	451
225	131	449
226	131	448
227	131	446
228	132	445
229	132	444
230	133	442
231	133	441
232	133	440
233	134	438
234	134	437
235	134	436
236	135	434
237	135	433
238	135	432
239	136	430
240	136	429
241	136	428
242	137	427
243	137	425
244	137	424
245	138	423
246	138	421
247	138	420
248	139	419
249	139	418
250	139	417
251	140	415
252	140	414
253	140	413
254	141	412
255	141	411
256	141	410
257	142	408
258	142	407
259	142	406
260	143	405
261	143	404
262	143	402
263	144	401
264	144	400
265	144	399
266	145	398
267	145	397
268	145	396
269	146	395
270	146	394
271	146	393
272	147	392
273	147	391
274	147	389
275	148	388
276	148	387
277	148	386
278	149	385
279	149	384
280	149	383
281	150	382
282	150	381
283	150	380
284	151	379
285	151	378
286	151	377
287	152	376
288	152	375
289	152	374
290	153	373
291	153	372
292	153	371
293	154	370
294	154	369
295	154	368
296	155	367
297	155	366
298	155	365
299	156	364
300	156	363
301	156	362
302	157	361
303	157	360
304	157	359
305	158	358
306	158	357
307	158	356
308	159	355
309	159	354
310	159	354
311	160	353
312	160	352
313	160	351
314	161	350
315	161	349
316	161	348
317	162	348
318	162	347
319	162	346
320	163	345
321	163	344
322	163	343
323	164	342
324	164	341
325	164	341
326	165	340
327	165	339
328	165	338
329	166	337
330	166	336
331	166	335
332	167	335
333	167	334
334	167	333
335	168	332
336	168	331
337	168	330
338	169	329
339	169	329
340	169	328
341	170	327
342	170	326
343	170	325
344	171	324
345	171	324
346	171	323
347	172	322
348	172	321
349	172	320
350	172	319
351	173	319
352	173	318
353	173	317
354	174	316
355	174	315
356	174	315
357	175	314
358	175	313
359	175	312
360	176	311
361	176	311
362	176	310
363	177	309
364	177	308
365	177	308
366	178	307
367	178	306
368	178	306
369	179	305
370	179	304
371	179	303
372	180	303
373	180	302
374	181	301
375	181	301
376	181	300
377	182	299
378	182	299
379	182	298
380	183	298
381	187	303
382	187	302
383	187	301
384	188	300
385	188	300
386	188	299
387	189	298
388	189	297
389	189	297
390	190	296
391	190	295
392	190	294
393	191	294
394	191	293
395	191	292
396	192	291
397	192	291
398	192	290
399	193	289
400	193	289
401	193	288
402	194	287
403	194	287
404	194	286
405	195	285
406	195	285
407	195	284
408	196	283
409	196	283
410	197	282
411	197	281
412	197	281
413	198	280
414	198	279
415	198	278
416	199	278
417	199	277
418	199	276
419	200	276
420	200	275
421	200	274
422	201	274
423	201	273
424	201	272
425	202	272
426	202	271
427	202	271
428	203	270
429	203	269
430	203	269
431	204	268
432	204	267
433	204	267
434	205	266
435	205	265
436	205	265
437	206	264
438	206	263
439	206	263
440	207	262
441	207	261
442	207	261
443	208	260
444	208	260
445	208	259
446	209	258
447	209	258
448	209	257
449	210	256
450	210	256
451	210	255
452	211	254
453	211	254
454	211	253
455	212	253
456	212	252
457	212	251
458	213	251
459	213	250
460	213	250
461	214	249
462	214	248
463	214	248
464	215	247
465	215	247
466	215	246
467	216	245
468	216	245
469	217	244
470	217	244
471	217	243
472	218	242
473	218	242
474	218	241
475	218	241
476	219	240
477	219	239
478	219	239
479	220	238
480	220	238
481	221	237
482	221	237
483	221	236
484	222	235
485	222	235
486	222	234
487	223	234
488	223	233
489	223	232
490	224	232
491	224	231
492	225	232
493	226	231
494	226	230
495	226	230
496	227	229
497	227	229
498	227	228
499	228	228
500	228	227
501	228	226
502	229	226
503	229	225
504	229	225
505	230	224
506	230	223
507	230	223
508	230	222
509	231	222
510	231	221
511	231	221
512	232	220
513	232	219
514	232	219
515	233	218
516	234	218
517	234	218
518	234	217
519	235	217
520	235	216
521	235	215
522	236	215
523	236	214
524	236	214
525	237	213
526	237	213
527	237	212
528	238	211
529	238	211
530	238	210
531	239	210
532	239	209
533	239	209
534	239	208
535	240	207
536	240	207
537	240	206
538	241	206
539	241	205
540	241	205
541	242	204
542	242	204
543	242	203
544	243	202
545	243	202
546	243	201
547	244	201
548	244	200
549	244	200
550	245	199
551	245	199
552	245	198
553	246	198
554	246	197
555	246	197
556	247	196
557	247	196
558	247	195
559	248	194
560	248	194
561	248	193
562	249	193
563	249	192
564	249	192
565	250	191
566	250	191
567	250	190
568	251	190
569	251	189
570	251	189
571	252	188
572	252	188
573	252	187
574	253	187
575	253	186
576	253	186
577	254	185
578	254	185
579	254	184
580	255	183
581	255	183
582	255	182
583	256	182
584	256	181
585	256	181
586	257	180
587	257	180
588	257	179
589	258	179
590	258	178
591	258	178
592	259	177
593	259	177
594	259	176
595	260	176
596	260	175
597	260	175
598	261	174
599	261	174
600	261	173
601	262	173
602	262	172
603	262	172
604	263	171
605	263	171
606	263	170
607	263	170
608	264	169
609	264	169
610	264	168
611	265	168
612	265	167
613	265	167
614	266	166
615	266	166
616	266	165
617	267	165
618	267	164
619	267	164
620	268	163
621	268	163
622	268	162
623	269	162
624	269	161
625	269	161
626	270	160
627	270	160
628	270	159
629	270	159
630	271	158
631	271	158
632	271	157
633	272	157
634	272	156
635	272	156
636	273	155
637	273	155
638	273	154
639	274	154
640	274	153
641	274	153
642	275	152
643	275	152
644	275	151
645	276	151
646	276	150
647	276	150
648	277	149
649	277	149
650	277	148
651	278	148
652	278	148
653	278	147
654	279	147
655	279	146
656	279	146
657	280	145
658	280	145
659	280	144
660	281	144
661	281	143
662	281	143
663	282	142
664	282	142
665	282	141
666	283	141
667	283	140
668	283	140
669	284	139
670	284	139
671	284	138
672	285	138
673	285	138
674	285	137
675	286	137
676	286	136
677	286	136
678	287	135
679	287	135
680	287	134
681	288	134
682	288	133
683	288	133
684	289	132
685	289	132
686	289	131
687	290	131
688	290	131
689	290	130
690	291	130
691	291	129
692	291	129
693	291	128
694	292	128
695	292	127
696	293	127
697	293	126
698	293	126
699	293	125
700	294	125
701	294	125
702	294	124
703	295	124
704	295	123
705	295	123
706	296	122
707	296	122
708	296	121
709	297	121
710	297	120
711	297	120
712	298	120
713	298	119
714	298	119
715	299	118
716	299	118
717	299	117
718	300	117
719	300	116
720	300	116
721	301	115
722	301	115
723	301	115
724	302	114
725	302	114
726	302	113
727	302	113
728	303	112
729	303	112
730	303	111
731	304	111
732	304	110
733	304	110
734	305	110
735	305	109
736	305	109
737	306	108
738	306	108
739	306	107
740	307	107
741	307	106
742	307	106
743	307	105
744	308	105
745	308	105
746	308	104
747	309	104
748	309	103
749	309	103
750	310	102
751	310	102
752	310	102
753	311	101
754	311	101
755	312	100
756	312	100
757	312	99
758	313	99
759	313	98
760	313	98
761	313	98
762	314	97
763	314	97
764	314	96
765	315	96
766	315	95
767	315	95
768	316	94
769	316	94
770	316	94
771	317	93
772	317	93
773	317	92
774	318	92
775	318	91
776	318	91
777	319	91
778	319	90
779	319	90
780	320	89
781	320	89
782	320	88
783	321	88
784	321	88
785	321	87
786	322	87
787	322	86
788	322	86
789	323	85
790	323	85
791	323	85
792	324	84
793	324	84
794	324	83
795	325	83
796	325	82
797	325	82
798	326	82
799	326	81
800	326	81
801	327	80
802	327	80
803	327	79
804	328	79
805	328	79
806	328	78
807	329	78
808	329	77
809	330	77
810	330	77
811	330	76
812	331	76
813	331	75
814	331	75
815	332	74
816	332	74
817	332	74
818	333	73
819	333	73
820	333	72
821	334	72
822	334	71
823	334	71
824	335	71
825	335	70
826	335	70
827	336	69
828	336	69
829	336	69
830	337	68
831	337	68
832	338	67
833	338	67
834	338	66
835	339	66
836	339	66
837	339	65
838	340	65
839	340	64
840	340	64
841	341	64
842	341	63
843	341	63
844	342	62
845	342	62
846	342	61
847	343	61
848	343	61
849	343	60
850	344	60
851	344	59
852	344	59
853	345	59
854	345	58
855	345	58
856	346	57
857	346	57
858	346	56
859	347	56
860	347	56
861	347	55
862	348	55
863	348	54
864	348	54
865	349	54
866	349	53
867	349	53
868	350	52
869	350	52
870	350	51
871	351	51
872	351	51
873	351	50
874	352	50
875	352	49
876	352	49
877	352	49
878	353	48
879	353	48
880	354	47
881	354	47
882	354	46
883	354	46
884	355	46
885	355	45
886	355	45
887	356	44
888	356	44
889	357	44
890	357	43
891	357	43
892	357	42
893	358	42
894	358	42
895	358	41
896	359	41
897	359	40
898	359	40
899	360	40
900	360	39
901	360	39
902	361	38
903	361	38
904	361	37
905	362	37
906	362	37
907	362	36
908	363	36
909	363	35
910	363	35
911	364	35
912	364	34
913	364	34
914	365	33
915	365	33
916	365	33
917	365	32
918	366	32
919	366	31
920	366	31
921	367	31
922	367	30
923	367	30
924	368	29
925	368	29
926	368	29
927	369	28
928	369	28
929	369	27
930	370	27
931	370	27
932	370	26
933	371	26
934	371	25
935	371	25
936	372	25
937	372	24
938	372	24
939	373	23
940	373	23
941	373	23
942	374	22
943	374	22
944	374	21
945	375	21
946	375	21
947	375	20
948	376	20
949	376	19
950	376	19
951	377	19
952	377	18
953	377	18
954	378	17
955	378	17
956	378	17
957	379	16
958	379	16
959	379	15
960	380	15
961	380	15
962	380	14
963	381	14
964	381	13
965	381	13
966	381	13
967	382	12
968	382	12
969	382	11
970	383	11
971	383	11
972	384	10
973	384	10
974	384	9
975	385	9
976	385	9
977	385	8
978	386	8
979	386	7
980	386	7
981	387	7
982	387	6
983	387	6
984	388	5
985	388	5
986	388	5
987	389	4
988	389	4
989	389	3
990	390	3
991	390	3
992	390	2
993	391	2
994	391	1
995	391	1
996	392	1
997	392	0
998	392	0
999	392	0
