iter	Passed	Remaining
0	58	58107
1	58	29282
2	59	19614
3	59	14780
4	59	11875
5	60	9953
6	60	8577
7	60	7544
8	61	6735
9	61	6092
10	61	5566
11	62	5124
12	62	4749
13	62	4429
14	63	4150
15	63	3908
16	63	3694
17	64	3503
18	64	3333
19	64	3180
20	65	3042
21	65	2917
22	65	2803
23	66	2698
24	66	2601
25	67	2511
26	67	2428
27	67	2352
28	68	2283
29	68	2218
30	68	2156
31	69	2097
32	69	2041
33	70	1988
34	70	1939
35	70	1892
36	71	1848
37	71	1806
38	71	1766
39	72	1729
40	72	1693
41	72	1659
42	73	1626
43	73	1594
44	73	1565
45	74	1536
46	74	1508
47	74	1482
48	75	1457
49	75	1433
50	75	1410
51	76	1387
52	76	1365
53	76	1344
54	77	1324
55	77	1305
56	77	1286
57	78	1269
58	78	1251
59	78	1235
60	79	1218
61	79	1203
62	79	1187
63	80	1172
64	80	1158
65	80	1144
66	81	1131
67	81	1118
68	81	1105
69	82	1092
70	82	1080
71	82	1069
72	83	1058
73	83	1047
74	84	1036
75	84	1025
76	84	1014
77	84	1004
78	85	995
79	85	985
80	86	975
81	86	966
82	86	955
83	86	946
84	87	937
85	87	929
86	87	921
87	88	913
88	88	905
89	88	897
90	89	890
91	89	882
92	89	875
93	90	868
94	90	860
95	90	854
96	91	847
97	91	841
98	91	834
99	92	828
100	92	822
101	92	816
102	93	810
103	93	803
104	93	798
105	94	793
106	94	787
107	94	781
108	95	776
109	95	771
110	95	766
111	95	760
112	96	755
113	96	750
114	96	745
115	97	741
116	97	736
117	97	731
118	98	727
119	98	723
120	98	718
121	99	713
122	99	710
123	99	706
124	100	701
125	100	697
126	100	693
127	101	689
128	101	685
129	101	681
130	102	677
131	102	674
132	102	670
133	103	666
134	103	663
135	103	659
136	104	656
137	104	652
138	104	649
139	105	645
140	105	642
141	105	638
142	105	634
143	106	631
144	106	628
145	106	625
146	107	622
147	107	619
148	107	616
149	108	613
150	108	610
151	108	607
152	109	604
153	109	601
154	109	599
155	110	596
156	110	593
157	110	590
158	111	587
159	111	584
160	111	581
161	111	578
162	112	576
163	112	574
164	112	571
165	113	569
166	113	567
167	114	564
168	114	562
169	114	559
170	114	557
171	115	554
172	115	553
173	116	550
174	116	548
175	116	546
176	117	544
177	117	542
178	117	540
179	118	538
180	118	535
181	118	533
182	119	531
183	119	529
184	119	527
185	120	525
186	120	523
187	120	521
188	121	519
189	121	517
190	121	515
191	122	514
192	122	512
193	122	510
194	123	508
195	123	506
196	123	504
197	124	502
198	124	501
199	124	499
200	125	497
201	125	495
202	125	493
203	126	492
204	126	490
205	126	488
206	127	487
207	127	485
208	127	483
209	128	482
210	128	480
211	128	478
212	129	477
213	129	475
214	129	474
215	130	472
216	130	471
217	130	469
218	131	468
219	131	466
220	131	465
221	132	463
222	132	461
223	132	460
224	133	458
225	133	457
226	133	455
227	134	454
228	134	453
229	134	451
230	135	450
231	135	448
232	135	447
233	136	445
234	136	444
235	136	443
236	137	441
237	137	440
238	137	439
239	138	437
240	138	436
241	138	435
242	139	433
243	139	432
244	139	431
245	140	429
246	140	428
247	140	427
248	141	426
249	141	424
250	141	423
251	142	422
252	142	420
253	142	419
254	143	418
255	143	417
256	143	416
257	144	415
258	144	413
259	145	412
260	145	411
261	145	410
262	146	409
263	146	407
264	146	406
265	146	405
266	147	404
267	147	403
268	147	402
269	148	401
270	148	400
